FournisseurID||CompteFournisseur||sigle||RaisonSociale||CC||RCCM||RegimeImposition||SiegeSociale||Responsable||ContactResponsable||ContactBureau||AdressePostale||Mail||ActivitePrincipale||CodeActivitePrincipal||ActiviteSecondaire||ClasseComptabeAppartenance||NomSurCheque||EstActif||DateCreation
1|401014|ADJA QUINCAILLERIE|ADJA QUINCAILLERIE|1825733L|NULL|NULL|NULL|ATTEBI GBALLOU ELVIS|7.4962e+008|NULL|NULL|NULL|VENTE DE MATERIELS ELECTRONIQUES- PLOMBERIE...|NULL|NULL|NULL|NULL|1|NULL
2|401007|ACA|AFRIC CONSULTING & AUDIT|1507822Q|CI-ABJ-2015-B-4456|ME|COCODY RIVIERA SIDECI|NULL|NULL|NULL|NULL|NULL|AUDIT ET COMISSARIAT AU COMPTES|NULL|NULL|NULL|AFRIC CONSULTING & AUDIT|1|NULL
3|401010|ACMC|AFRICA CAPITAL MARKETS CORPORATION (ACMC)|2032393R|CI-ABJ-2020-B-10751|RN|ABIDJAN COCOCY DANGA LOT N9005 ILOT 3 RESIDENCE AZUR|NULL|2.7226e+009|NULL|08 BP 3822 Abidjan 08|acmc@acmc-group.com|Etude- conseil|NULL|NULL|NULL|AFRICA CAPITAL MARKETS CORPORATION (ACMC)|1|NULL
4|401020|AFRICA O'CLOCK|AFRICA O'CLOCK|22134778G|CI-ABJ-2021-A-4422|TEE|GRAND BASSAM QUARTIER CAFOP|NULL|NULL|2.25507e+013|NULL|www.africaoclock.com / info@africaoclock.com |Agence de communication et de relations presse|NULL|NULL|NULL|NULL|1|NULL
5|401012| AFRICAN FORUM FOR UTILITY REG| AFUR||||NEANT||||||NEANT|NULL|NULL|NULL|AFRICAN FORUM FOR UTILITY REG|1|2024-10-31 10:40:50.527
6|481202|TRACTAFRIC MOTORS COTE D'IVOIRE|TRACTAFRIC MOTORS COTE D'IVOIRE|0100474J|CI-ABJ-2021-A-4422|RN|KM4 BOULEVARD DE MARSEILLE ZONE 3||2.25272e+012|2.25272e+012|01 BP 2366 Abidjan 01|Tmci.abj-nord@tractafrictmc.com|VENTE ET SERVICE AUTOMOTIVE EN CƒTE D'IVOIRE|NULL|NULL|NULL|TRACTAFRIC MOTORS COTE D'IVOIRE|1|2025-04-17 18:57:08.993
7|401009|AGS FRASERS CƒTE D'IVOIRE|NULL|9320808S|NULL|RN|ABIDJAN, 21 RUE DE L'INDUSTRIE ZONE 3|Guillaume Dehem|2.25272e+012|NULL|18 BP 108 Abidan 18|Abidjan@agsmovers.com|D,m,nagements Internationaux - Relocation - Archivage|NULL|NULL|NULL|NULL|1|NULL
8|401036|AIR COTE D'IVOIRE|AIR COTE D'IVOIRE|NULL|NULL|NULL|NULL|NULL|NULL|NULL|01 BP 13 Abidjan 01|Reservation@air  cotedivoire.com|NULL|NULL|NULL|NULL|NULL|1|NULL
9|401030|AIR France|AIR France|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|AIR France|1|NULL
10|401002|AMS CONSULTING|AMS CONSULTING|1515006R|CI-ABJ-2019-A-05236|TEE|COCODY RIVIERA AGBASSI CITE NESTLE|NULL|NULL|NULL|08 BP 2705 Abidjan 08|Amsconsulting@gmail.com|CONSEIL RH & FORMATION|NULL|NULL|NULL|NULL|1|NULL
