DemandeExpressionID||FournisseurID||UtilisateurID||Imputation||CodeActivite||NatureNBE||NatureSYSCO||MontantMarche||Dotationbudgetaire||EngagementsAnterieur||EngagementsActuel||TypeDepense||NumDepense||Exercice||Date||NumOS||Action||Activite||Direction||SousActivite||NatureDepense||CodeFournisseur||RaisonSociale||Sigle||CC||RCCM||Adresse||CpteBancaire||Banque||ModePaiement||ModalitePaiement||Objet1||SourceFinancement||SourceDecaissement||NumDepenseAnnulee||MotifRejet||EtatValidateCB||DateValidateCB||NomCB||EtatValidateDMGP_DGPEC||DateValidateDMGP_DGPEC||NomDMGP_DGPEC||EtatValidateDAAF||DateValidateDAAF||NomValidateDAAF||EtatValidateDG||DateValidateDG||NomValidateDG||Etat||Etape||NumMarche||ReferenceNoteDG||CumulEgagement||DisponibleBudgetaire||Devis_Proforma||FicheContrat||BonCommande||DateScanning||EngagementAnterieurVal||PjFichier1||PjFichier2||PjFichier3||TypeChargeID
440872|93|40|1101131002022618100|131 : Fonctionnement|618100 Abonnements et consommations de t,l,phone, et d'autres t,l,communications|628150 FRAIS D'INTERNET|235028|11349814.0|235028.0|235028.0|NULL|ARTI001250001|2025.0|2025-03-11|OS1 : Construire la structure fonctionnelle et de pilotage de l'autorit,|Am,liorer les performances op,rationnelles de l'ARTI.|131 : Fonctionnement|Service des Moyens G,n,raux|002 : Gestion des Activit,s de Fonctionnement de l'ARTI|NULL|93.0|ORANGE CƒTE D'IVOIREORANGE CƒTE D'IVOIRE|ORANGE CƒTE D'IVOIRE |NULL|NULL|NULL|NULL|NULL|NULL|NULL|RSglement de la facture pour la consommation Orange Internet pour la p,riode du 01/01 au 31/01/2025 au siSge de l'ARTI.|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|1|2025-01-17|N'ZI Assamoua D,sir,|1|0|NEANT|001-01-2025/ARTI/DAAF/SDMG/KJAi|235028|11114786|20250311103229_CONTRAT ORANGE COTE DIVOIRE.pdf|20250311103229_ORANGE CIV FACTURE INTERNET JANV 2025.pdf|20250311103229_ORANGE CIV FACTURE INTERNET JANV 2025.pdf|2025-01-17|235028|20250109121400_FACTURE ORANGE INTERNET JANVIER 2025-235 028.pdf|20250109121400_|20250109121400_|1
440873|14|40|1101131002022615900|131 : Fonctionnement|615900 Autres assurances|625300 ASSURANCES RISQUES D'EXPLOITATION|498075|125921629.0|498075.0|498075.0|NULL|ARTI001250002|2025.0|2025-04-03|OS1 : Construire la structure fonctionnelle et de pilotage de l'autorit,|Am,liorer les performances op,rationnelles de l'ARTI.|131 : Fonctionnement|Service des Moyens G,n,raux|002 : Gestion des Activit,s de Fonctionnement de l'ARTI|NULL|14.0|ASSURE PLUSASSURE PLUS|ASSURE PLUS|NULL|NULL|NULL|NULL|NULL|NULL|NULL|Demande de paiement de la facture d'Assurance Responsabilit, Civile du Personnel de l'ARTI.|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|1|2025-01-20|N'ZI Assamoua D,sir,|1|0|NEANT|002-01-2025/ARTI/DAAF/SDMG/KJAi|498075|125423554|ARTI001250002.pdf|ARTI001250002.pdf|ARTI001250002.pdf|2025-02-03|498075|20250110112024_FACTURE Assure + RESPONSABILITE CIVILE-498 075.pdf|20250110112024_|20250110112024_|2
440874|14|40|1101131002022615100|131 : Fonctionnement|615100 Assurances des immeubles|625100 ASSURANCES MULTIRISQUES|6405700|6795786.0|6405700.0|6405700.0|NULL|ARTI001250003|2025.0|2025-03-03|OS1 : Construire la structure fonctionnelle et de pilotage de l'autorit,|Am,liorer les performances op,rationnelles de l'ARTI.|131 : Fonctionnement|Service des Moyens G,n,raux|002 : Gestion des Activit,s de Fonctionnement de l'ARTI|NULL|14.0|ASSURE PLUSASSURE PLUS|ASSURE PLUS|NULL|NULL|NULL|NULL|NULL|NULL|NULL|Demande de paiement de la facture d'Assurance Multirisque Professionnelle de l'ARTI.|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|1|2025-01-20|N'ZI Assamoua D,sir,|1|0|NEANT|003-01-2025/ARTI/DAAF/SDMG/KJAi|6405700|390086|20250303123659_FACTURE ASSURE PLUS RESPONSABILITE CIVILE 2025.pdf|20250303123659_ATTESTATION ASSURE PLUS RESPONSABILITE CIVILE 2025.pdf|20250303123659_CONTRAT ASSURE PLUS RESPONSABILITE CIVILE 2025.pdf|2025-01-20|6405700|20250110113513_ATTESTATION D'ASSU MULTIRISQUE PROFESSIONNEL- 6 405 700.pdf|20250110113513_|20250110113513_|2
440875|171|35|1303310001041611200|310 : Recensement G,n,ral et Cartographie des transporteurs interurbains de personnes (Projet Recensement transport interurbain)|611200 : Indemnit,s de mission . l'int,rieur|638400 FRAIS DE MISSIONS|120000|6520000.0|120000.0|120000.0|NULL|ARTI001250004|2025.0|2025-01-27|OS3 : Renforcer le contr"le et la r,gulation des acteurs du transport int,rieur et continuer de construire l'organisation des secteurs . r,guler|Mettre en ouvre la r,gulation des activit,s du secteur du transport int,rieur confi,e par la loi (LOTI)|310 : Recensement G,n,ral et Cartographie des transporteurs interurbains de personnes (Projet Recensement transport interurbain)|Direction de la Gestion Pr,visionnelle de l'Emploi|001 : Projets en ex,cution par les Directions|NULL|171.0|PERSONNEL DE L'ARTIPERSONNEL DE L'ARTI|PERSONNEL DE L'ARTI|NULL|NULL|NULL|NULL|NULL|NULL|NULL|PARTICIPATION AUX ATELIERS DE RESTITUTION ET DE VALIDATION DES RAPPORTS PUD, RPU, EES|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|1|2025-01-20|N'ZI Assamoua D,sir,|1|0|NEANT|DGPECRP|120000|6400000|20250127175138_||20250127175138_ORDRE ET FICHE DE MISSION AVEC IMPUTATION B DIABAGATE.pdf|2025-01-21|120000|20250113101759_Mission Monsieur DIABAGATE Aboubacar Sidici.pdf|20250113101759_Mission Monsieur DIABAGATE Aboubacar Sidici.pdf|20250113101759_Mission Monsieur DIABAGATE Aboubacar Sidici.pdf|2
440876|160256|38|1101119001092622100|119 : Administration du site web de l'ARTI|622100 : R,mun,rations de prestations ext,rieures|624300 MAINTENANCE|20860|3200000.0|20860.0|20860.0|NULL|ARTI001250005|2025.0|2025-04-23|OS1 : Construire la structure fonctionnelle et de pilotage de l'autorit,|Am,liorer les performances op,rationnelles de l'ARTI.|119 : Administration du site web de l'ARTI|Directeur des SystSmes d'Information par Int,rim|001 : Projets en ex,cution par les Directions|NULL|160256.0|COMEUPCOMEUPCOMEUP|COMEUP|NULL|NULL|NULL|NULL|NULL|NULL|NULL|Demande de renouvellement d'un plugin WordPress "Elementor Pro" pour site web de l'ARTI|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|1|2025-01-20|N'ZI Assamoua D,sir,|1|0|NEANT|01-2025/ARTI/DSI/AYGC|20860|3179140|20250305091934_COME UP 20 860 F.pdf|20250305091934_COME UP 20 860 F.pdf|20250305091934_COME UP 20 860 F.pdf|2025-01-21|20860|20250113112807_recu-Elementor-pro-1301834.pdf|20250113112807_|20250113112807_|2
440877|160256|38|1101119001092622100|119 : Administration du site web de l'ARTI|622100 : R,mun,rations de prestations ext,rieures|624300 MAINTENANCE|20860|3200000.0|0.0|20860.0|NULL|ARTI001250005|2025.0|2025-01-17|OS1 : Construire la structure fonctionnelle et de pilotage de l'autorit,|Am,liorer les performances op,rationnelles de l'ARTI.|119 : Administration du site web de l'ARTI|Directeur des SystSmes d'Information par Int,rim|001 : Projets en ex,cution par les Directions|NULL|160256.0|COMEUP|COMEUP|NULL|NULL|NULL|NULL|NULL|NULL|NULL|Demande de renouvellement d'un plugin WordPress "Elementor Pro" pour site web de l'ARTI|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|0|0|NEANT|01-2025/ARTI/DSI/AYGC|20860|3179140|NULL|NULL|NULL|NULL|0|20250113112807_recu-Elementor-pro-1301834.pdf|20250113112807_|20250113112807_|2
440878|171|35|1404403001071611200|403 : Ateliers de sensibilisation et de formation dans les localit,s de Songon, Dabou, Dimbokro, Toumodi, Bocanda, Djekanou et Kokumbo (Projet Campagne de Sensibilisation 2025)|611200 : Indemnit,s de mission . l'int,rieur|638400 FRAIS DE MISSIONS|25000|3260000.0|25000.0|25000.0|NULL|ARTI001250006|2025.0|2025-01-27|OS4 : Faire mieux appliquer le cadre r,gulatoire actuel dans le secteur du transport int,rieur et ,laborer une vision prospective de l',volution des secteurs et de leur r,gulation ;|Approfondir la r,gulation par la donn,e comme nouvelle modalit, de r,gulation|403 : Ateliers de sensibilisation et de formation dans les localit,s de Songon, Dabou, Dimbokro, Toumodi, Bocanda, Djekanou et Kokumbo (Projet Campagne de Sensibilisation 2025)|Direction de la Gestion Pr,visionnelle de l'Emploi|001 : Projets en ex,cution par les Directions|NULL|171.0|PERSONNEL DE L'ARTIPERSONNEL DE L'ARTI|PERSONNEL DE L'ARTI|NULL|NULL|NULL|NULL|NULL|NULL|NULL|DEPOT DE COURRIER DE REMERCIEMENTS |NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|1|2025-01-20|N'ZI Assamoua D,sir,|1|0|NEANT|DGPECRP|25000|3235000|20250127174924_||20250127174924_ORDRE ET FICHE DE MISSION AVEC IMPUTATION M. KOUADIO.pdf|2025-01-21|25000|20250113113212_Mission Monsieur KOUADIO Konan Edmond.pdf|20250113113212_|20250113113212_|3
440879|183|38|1202212001092622100|212 : Modernisation et s,curisation de l'infrastructure informatique|622100 : R,mun,rations de prestations ext,rieures|634200 REDEVANCE POUR BREVET ET LICENCE|1890500|2400000.0|1890500.0|1890500.0|NULL|ARTI001250007|2025.0|2025-05-03|OS2 : Construire les outils de collectes, de traitement et de production de donn,es statistiques fiables|Disposer doutils fiables de collectes et danalyse de donn,es|212 : Modernisation et s,curisation de l'infrastructure informatique|Directeur des SystSmes d'Information par Int,rim|001 : Projets en ex,cution par les Directions|NULL|183.0|FLOPYTECHFLOPYTECHFLOPYTECHFLOPYTECH|FLOPYTECH|NULL|NULL|NULL|NULL|NULL|NULL|NULL|Renouvellement de licence pour s,curit, de l'architecture r,seau de l'ARTI, 2025|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|1|2025-01-20|N'ZI Assamoua D,sir,|1|0|NEANT|02-2025/ARTI/DSI/AYGC|1890500|509500|20250303174744_PROFORMA FLOPYTECH.pdf|20250303174744_BON DE COMMANDE FLOPYTECH.pdf|20250303174744_BON DE COMMANDE FLOPYTECH.pdf|2025-01-21|1890500|20250113114142_Facture Proforma FP01070125 - ARTI - Licence Fortigate 100F_2025.pdf|20250113114142_|20250113114142_|2
440880|110253|40|1202212001092622100|212 : Modernisation et s,curisation de l'infrastructure informatique|622100 : R,mun,rations de prestations ext,rieures|634200 REDEVANCE POUR BREVET ET LICENCE|2121515|2400000.0|2121515.0|2121515.0|NULL|ARTI001250008|2025.0|2025-03-03|OS2 : Construire les outils de collectes, de traitement et de production de donn,es statistiques fiables|Disposer doutils fiables de collectes et danalyse de donn,es|212 : Modernisation et s,curisation de l'infrastructure informatique|Directeur des SystSmes d'Information par Int,rim|001 : Projets en ex,cution par les Directions|NULL|110253.0|NOVASYSNOVASYS|NOVASYS|NULL|NULL|NULL|NULL|NULL|NULL|NULL|Renouvellement antivirus Check Point Harmony Endpoint Advanced pour l'ann,e 2025|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|1|2025-01-20|N'ZI Assamoua D,sir,|1|0|NEANT|03-2025/ARTI/DSI/AYGC|2121515|278485|20250303164431_PROFORMA NOVASYS.pdf|20250303164431_PROFORMA NOVASYS.pdf|20250303164431_BON DE COMMANDE FLOPYTECK.pdf|2025-01-21|2121515|20250113120026_DEVIS ARTI CHECKPOINT RENOUVELLEMENT JANV 2025.pdf|20250113120026_Order Confirmation-Reseller SO# 16667167 (002).pdf|20250113120026_|2
440881|206|40|1101131002022618100|131 : Fonctionnement|618100 Abonnements et consommations de t,l,phone, et d'autres t,l,communications|628150 FRAIS D'INTERNET|25000|11349814.0|25000.0|25000.0|NULL|ARTI001250009|2025.0|2025-03-04|OS1 : Construire la structure fonctionnelle et de pilotage de l'autorit,|Am,liorer les performances op,rationnelles de l'ARTI.|131 : Fonctionnement|Directeur des SystSmes d'Information par Int,rim|002 : Gestion des Activit,s de Fonctionnement de l'ARTI|NULL|206.0|SODITEL  MOOV AFRICA COTE D'IVOIRE|  MOOV AFRICA COTE D'IVOIRE|NULL|NULL|NULL|NULL|NULL|NULL|NULL|DEMANDE DE DATA MOOV PREPAYEE POUR COUVERTURE INTERNET, BUREAU DIRECTEUR GENERAL ARTI |NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|1|2025-01-20|N'ZI Assamoua D,sir,|1|0|NEANT|04-2024/DSI/AYGC|260028|11089786|ARTI001250009.pdf|ARTI001250009.pdf|ARTI001250009.pdf|2025-01-20|25000|20250114194916_OFFRES_DATA_PREPAYEES_MOOV.pdf|20250114194916_|20250114194916_|2
